Id,Agency Code,Bureau Code,Bureau Name,Bureau Abbreviation,Treasury Agency Code,CGAC Agency Code,First Active BY,Last Active BY
"560","001","25","Library of Congress","","03","003","","2016"
"552","001","05","Senate","","00","000","","2016"
"553","001","10","House of Representatives","","00","000","","2016"
"554","001","11","Joint Items","","00","000","","2016"
"555","001","13","Capitol Police","","02","002","","2016"
"556","001","12","Office of Compliance","","09","009","","2016"
"558","001","15","Architect of the Capitol","","01","001","","2016"
"559","001","18","Botanic Garden","","09","009","","2016"
"561","001","30","Government Printing Office","","04","004","","2016"
"562","001","35","Government Accountability Office","","05","005","","2016"
"563","001","40","United States Tax Court","","23","023","","2016"
"564","001","45","Legislative Branch Boards and Commissions","","09","009","","2016"
"930","001","00","Legislative Branch","","00","","","2014"
"557","001","14","Congressional Budget Office","","08","008","","2016"
"566","002","00","Judicial Branch","","10","010","","2016"
"568","002","07","United States Court of Appeals for the Federal Circuit","","10","010","","2016"
"571","002","26","Administrative Office of the United States Courts","","10","010","","2016"
"573","002","35","Judicial Retirement Funds","","10","010","","2016"
"567","002","05","Supreme Court of the United States","","10","010","","2016"
"572","002","30","Federal Judicial Center","","10","010","","2016"
"574","002","39","United States Sentencing Commission","","10","010","","2016"
"570","002","25","Courts of Appeals, District Courts, and other Judicial Services","","10","010","","2016"
"569","002","15","United States Court of International Trade","","10","010","","2016"
"581","005","05","Departmental Management","","12","012","","2015"
"582","005","06","Office of Communications","","12","012","","2015"
"583","005","08","Office of Inspector General","","12","012","","2016"
"584","005","10","Office of the General Counsel","","12","012","","2016"
"585","005","13","Economic Research Service","","12","012","","2016"
"602","005","96","Forest Service","","12","012","","2016"
"587","005","18","Agricultural Research Service","","12","012","","2016"
"598","005","65","Rural Business - Cooperative Service","","12","012","","2016"
"600","005","68","Foreign Agricultural Service","","12","012","","2016"
"599","005","60","Rural Utilities Service","","12","012","","2016"
"597","005","63","Rural Housing Service","","12","012","","2016"
"596","005","55","Rural Development","","12","012","","2016"
"595","005","53","Natural Resources Conservation Service","","12","012","","2016"
"594","005","49","Farm Service Agency","","12","012","","2016"
"593","005","47","Risk Management Agency","","12","012","","2016"
"592","005","45","Agricultural Marketing Service","","12","012","","2016"
"591","005","37","Grain Inspection, Packers and Stockyards Administration","","12","012","","2016"
"590","005","35","Food Safety and Inspection Service","","12","012","","2016"
"589","005","32","Animal and Plant Health Inspection Service","","12","012","","2016"
"588","005","20","National Institute of Food and Agriculture","","12","012","","2016"
"601","005","84","Food and Nutrition Service","","12","012","","2016"
"580","005","07","Office of Civil Rights","","12","012","","2016"
"579","005","11","National Appeals Division","","12","012","","2015"
"945","005","19","Buildings and Facilities","","12","012","2016","2016"
"944","005","16","Hazardous Materials Management","","12","012","2016","2016"
"943","005","14","Office of Chief Financial Officer","","12","012","2016","2016"
"942","005","12","Office of Chief Information Officer","","12","012","2016","2016"
"586","005","15","National Agricultural Statistics Service","","12","012","","2016"
"578","005","09","Office of Chief Economist","","12","012","","2015"
"575","005","00","Department of Agriculture","","12","012","","2016"
