Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Requirement Type,URL ID,Agency URL ID,URL,Valid Public URL,Updated Date,Updated Time
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","Published Agency Strategic Plan","1873","","http://www.faa.gov/about/plans_reports/media/Destination2025.pdf","Yes","09/14/2012","10:29:20"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","Published Agency Strategic Plan","4739","31877","http://www.faa.gov/about/plans_reports/media/FAA_Strategic_Initiatives_Summary.pdf","Yes","09/12/2014","17:20:23"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","Published Agency Strategic Plan","2763","2402","http://www.dot.gov/dot-strategic-plan","Yes","09/12/2014","17:20:23"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Legislative Mandate","3945","1","http://www.benefits.va.gov/VOW/","Yes","03/10/2014","15:50:54"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Published Agency Strategic Plan","435","3","http://www.va.gov/op3/docs/StrategicPlanning/VA2014-2020strategicPlan.pdf","Yes","03/10/2014","15:50:55"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Other Requirement","437","5","http://www.whitehouse.gov/the-press-office/2011/04/27/executive-order-streamlining-service-delivery-and-improving-customer-ser","Yes","09/12/2012","12:38:14"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Presidential Priority","2611","4","http://www.whitehouse.gov/the-press-office/2011/04/27/executive-order-streamlining-service-delivery-and-improving-customer-ser                                                                                                                                                    http://www.gpo.gov/fdsys/pkg/FR-2007-03-08/pdf/07-1137.pdf","Yes","09/09/2014","09:33:46"
"029-555555110","8","029","Department of Veterans Affairs","Medical 21st Century TeleHealth","Legislative Mandate","477","1","http://www.va.gov/vdl/documents/Financial_Admin/Enrollment_App_Sys_(EAS)/eas_1_p40_ig.pdf","Yes","09/12/2012","12:39:53"
"029-555555110","8","029","Department of Veterans Affairs","Medical 21st Century TeleHealth","Published Agency Strategic Plan","479","3","http://www.va.gov/op3/docs/StrategicPlanning/VA2014-2020strategicPlan.pdf","Yes","03/10/2014","14:48:11"
"184-000000008","10","184","U.S. Agency for International Development","Procurement - Core","Published Agency Strategic Plan","3367","GLAAS-URL-2","http://inside.usaid.gov/USAIDforward/","No","09/12/2013","15:14:38"
"184-000000005","12","184","U.S. Agency for International Development","Billing and Accounting - Core","Legislative Mandate","1569","","http://www.whitehouse.gov/omb/financial_ffs_ffmia","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Billing and Accounting - Core","Audit Finding Resolution","1571","","http://transition.usaid.gov/performance/afr/afr11.pdf111811","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Billing and Accounting - Core","Published Agency Strategic Plan","1573","","State/AID joint goals document","No","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Billing and Accounting - Core","Presidential Priority","1575","","http://www.whitehouse.gov/the_press_office/TransparencyandOpenGovernment","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Billing and Accounting - Core","Presidential Priority","1579","","www.foreignassistance.gov","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Billing and Accounting - Core","Presidential Priority","1577","","http://www.usaid.gov/open","Yes","09/13/2012","17:41:46"
"184-000000005","12","184","U.S. Agency for International Development","Billing and Accounting - Core","Presidential Priority","1581","","https://explore.data.gov/Foreign-Commerce-and-Aid/USAID-Dollars-Obligated-and-Dollars-Spent/cy2i-w7ni","Yes","09/13/2012","17:41:46"
"007-000000049","13","007","Department of Defense","Armed Forces Health Longitudinal Technology Application","Published Agency Strategic Plan","3723","617","http://www.health.mil/","Yes","12/09/2013","11:55:10"
"007-000000049","13","007","Department of Defense","Armed Forces Health Longitudinal Technology Application","Published Agency Strategic Plan","4795","977","http://www.health.mil/military-health-topics/innovation","No","10/01/2014","10:44:10"
"007-000000049","13","007","Department of Defense","Armed Forces Health Longitudinal Technology Application","Published Agency Strategic Plan","3725","621","http://www.defense.gov/qdr/","Yes","12/09/2013","11:55:10"
"007-000000049","13","007","Department of Defense","Armed Forces Health Longitudinal Technology Application","Published Agency Strategic Plan","1","63","http://comptroller.defense.gov/defbudget/fy2013/fy2013_budget_request_overview_book.pdf","No","09/11/2012","10:45:45"
"007-000000049","13","007","Department of Defense","Armed Forces Health Longitudinal Technology Application","Other Requirement","3","71","http://www.healthfinder.gov/orgs/hr1458.htm","Yes","09/11/2012","10:45:45"
"007-000000178","15","007","Department of Defense","Defense Enterprise Accounting and Management System-Increment 1","Legislative Mandate","4865","1092","http://www.whitehouse.gov/omb/financial_ffs_ffmia","Yes","02/03/2015","15:11:49"
