Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Requirement Type,URL ID,Agency URL ID,URL,Valid Public URL,Updated Date,Updated Time
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","Published Agency Strategic Plan","1873","","http://www.faa.gov/about/plans_reports/media/Destination2025.pdf","Yes","09/14/2012","10:29:20"
"021-142305975","3","021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)","Published Agency Strategic Plan","2763","2402","http://www.faa.gov/about/plans_reports/media/Destination2025.pdf","Yes","09/10/2013","15:41:38"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","Legislative Mandate","2301","1","http://www.nrc.gov/reading-rm/doc-collections/cfr/part050/part050-0072.html","Yes","11/27/2012","15:22:32"
"429-000002005","4","429","Nuclear Regulatory Commission","Incident Response System (IRS)","Published Agency Strategic Plan","2303","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/27/2012","15:22:32"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Legislative Mandate","3945","1","http://www.benefits.va.gov/VOW/","Yes","03/10/2014","15:50:54"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Published Agency Strategic Plan","435","3","http://www.va.gov/op3/docs/StrategicPlanning/VA2014-2020strategicPlan.pdf","Yes","03/10/2014","15:50:55"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Other Requirement","437","5","http://www.whitehouse.gov/the-press-office/2011/04/27/executive-order-streamlining-service-delivery-and-improving-customer-ser","Yes","09/12/2012","12:38:14"
"029-888888105","7","029","Department of Veterans Affairs","Interagency 21st Century One Vet","Presidential Priority","2611","4","http://www.whitehouse.gov/the-press-office/2011/04/27/executive-order-streamlining-service-delivery-and-improving-customer-serhttp://www.gpo.gov/fdsys/pkg/FR-2007-03-08/pdf/07-1137.pdf","No","03/10/2014","15:50:55"
"029-555555110","8","029","Department of Veterans Affairs","Medical 21st Century TeleHealth","Legislative Mandate","477","1","http://www.va.gov/vdl/documents/Financial_Admin/Enrollment_App_Sys_(EAS)/eas_1_p40_ig.pdf","Yes","09/12/2012","12:39:53"
"029-555555110","8","029","Department of Veterans Affairs","Medical 21st Century TeleHealth","Published Agency Strategic Plan","479","3","http://www.va.gov/op3/docs/StrategicPlanning/VA2014-2020strategicPlan.pdf","No","03/10/2014","14:48:11"
"429-000001020","9","429","Nuclear Regulatory Commission","Budget Formulation System (BFS)","Published Agency Strategic Plan","2321","3","http://www.nrc.gov/reading-rm/doc-collections/nuregs/staff/sr1614/v5/sr1614v5.pdf","Yes","11/21/2012","10:36:54"
"184-000000008","10","184","U.S. Agency for International Development","GLAAS - Global Assistance and Acquisition System","Published Agency Strategic Plan","3367","GLAAS-URL-2","http://inside.usaid.gov/USAIDforward/","No","09/12/2013","15:14:38"
