Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Solicitation ID (Agency),Modular Approaches / Contracting,EVM Required,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"005-000001425","227","005","Department of Agriculture","Financial Management Modernization Initiative (FMMI)","21614","","Awarded","1205","AG3142C070034","","","","","yes","Yes","ACCENTURE LLP","","9.505207","Firm Fixed Price","","06/06/2013","09/30/2013","U","FINANCIAL MANAGEMENT MODERNIZATION INITIATIVE","55515","1205","0","2013-06-26 16:28:35","2013-06-26 16:28:35"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","26913","","Awarded","4732","GST0012AJ0044","GSTFMGBPA100001","4735","","yes","yes","Yes","SYSTEMS RESEARCH AND APPLICATIONS CORPORATION","","109.372811","Time and Materials","","07/03/2013","11/30/2013","U","THE PURPOSE OF THIS TASK ORDER MODIFICATION IS TO: (1) REALIGN FY12 FUNDS FROM THE BASE PERIOD TO THE CURRENT OPTION PERIOD AND (2) INCREMENTALLY FUND CLIN1001 ON TASK ORDER GST0012AJ0044, UNDER CONTRACT GS-TFMG-BPA-10-0001. FURTHER DETAILS ARE PROVIDED ON THE SF30 CONTINUATION PAGE.","57963","4732","0","2013-07-24 10:47:03","2013-07-24 10:47:03"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","26915","","Awarded","1406","IND12PB00478","IND09AP60069","1406","","yes","yes","Yes","DELOITTE CONSULTING LLP","","5.497329","Firm Fixed Price","","03/15/2013","09/24/2013","U","IGF::OT::IGF - MIDAS 106-2012 EPMO SUPPORT SERVICES, MOD 0001- REVISED SOW.","57964","1406","0","2013-07-24 10:47:03","2013-07-24 10:47:03"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","26917","","Awarded","1406","IND12PB00466","IND09AP60069","1406","","yes","yes","Yes","DELOITTE CONSULTING LLP","","4.899172","Firm Fixed Price","","07/19/2013","09/25/2013","U","IGF::OT::IGF - MIDAS 105-2012 - ORGANIZATIONAL CHANGE MANAGEMENT SERVICES NEW AWARD","57965","1406","0","2013-07-24 10:47:03","2013-07-24 10:47:03"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","26919","","Awarded","4732","GST0012AJ0140","GSQFOBBPA100003","4735","","yes","yes","Yes","CAPGEMINI GOVERNMENT SOLUTIONS LLC","","2.791500","Time and Materials","","07/01/2013","08/26/2013","U","MODIFICATION PS-02 TO MODIFY SECTIONS 2, 5, 6, 7 AND 9 AND REDUCE TASK ORDER TOTAL ESTIMATED PRICE.IGF::OT::IGF","57967","4732","0","2013-07-24 10:47:03","2013-07-24 10:47:03"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","26927","","Awarded","","AG3151D120047","GS35F0131R","4730","","yes","no","Yes","CARAHSOFT TECHNOLOGY CORPORATION","","0.218576","Firm Fixed Price","","08/21/2012","09/26/2013","U","OTHER FUNCTIONS - ANNUAL LICENSE MAINTENANCE.","14363","12D2","0","2012-11-30 11:15:23","2012-11-30 11:15:23"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","31731","","Awarded","1205","AG3142K130036","AG3142B120011","1205","","yes","no","Yes","CARAHSOFT TECHNOLOGY CORPORATION","","2.722105","Firm Fixed Price","","06/07/2013","12/31/2013","U","SAP SOFTWARE AND SOFTWARE MAINTENANCE SPLSE","57966","1205","0","2013-07-24 10:47:03","2013-07-24 10:47:03"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","32890","","Awarded","1205","AG3142K120261","AG3142B120011","1205","AG3142S120067","yes","no","Yes","CARAHSOFT TECHNOLOGY CORPORATION","","18.197141","Firm Fixed Price","","01/24/2013","09/28/2013","U","SAP APPLICATION BUSINESS EXPERT UPGRADE USER","57968","1205","0","2013-07-24 10:47:03","2013-07-24 10:47:03"
"005-000001870","225","005","Department of Agriculture","Farm Program Modernization (MIDAS) #097","33051","","Awarded","","AG3151K130017","AG3142B100018","1205","","yes","yes","Yes","ADVANTAGED SOLUTIONS INCORPORATED","","8.032665","Time and Materials","","07/24/2013","06/28/2015","U","IGF::OT::IGF","59693","12D2","0","2013-08-20 17:15:39","2013-08-20 17:15:39"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33017","","Awarded","","AG32KWD120363","GS35F0265X","4732","","no","no","Yes","IMMIXTECHNOLOGY, INC.","","0.058846","Firm Fixed Price","","09/25/2012","09/29/2013","U","ITD PURCHASE IMMIX TECHNOLOGY, INC. Q#QUO-311496-J6T0R6 - ORACLE RENEW FOR HYPERION MAINTENANCE FOR YEAR ONE OF A FOUR (4) YEAR CONTRACT TOTALING $249,885.45. POP 09/30/2012 - 09/29/2013. RHIANA SHUMATE IS COTR PLEASE SEND HER INVOICE.","59657","12K3","0","2013-08-20 15:24:24","2013-08-20 15:24:24"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33019","","Awarded","","AG32KWD130030","NNG07DA39B","4730","","no","no","Yes","IRON BOW TECHNOLOGIES, LLC","","0.010975","Firm Fixed Price","","04/25/2013","09/30/2013","U","SOFTWARE","59659","12K3","0","2013-08-20 15:24:24","2013-08-20 15:24:24"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33021","","Awarded","","AG32KWD130029","GS35F4633G","4730","","no","no","Yes","BAY STATE COMPUTERS INC","","0.158876","Firm Fixed Price","","10/01/2012","09/30/2013","U","ITD PURCHASE IBM SOFTWARE SUBSCRIPTION AND SUPPORT RENEWAL IGF::CT::IGF","59661","12K3","0","2013-08-20 15:24:24","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33023","","Awarded","","AG32KWD130023","GS35F0265X","4730","","no","no","Yes","IMMIXTECHNOLOGY, INC.","","0.020499","Firm Fixed Price","","11/21/2012","09/30/2013","U","ITD PURCHASE  IMMIX TECHNOLOGY, INC. Q#340530-J2P6R3 FOR ENCASE FORENSIC AND DISCOVERY.  POP 09/30/2012 - 09/30/2013.  RHIANA SHUMATE IS COTR PLEASE SEND HER THE INVOICE. REV #1 PER BONNIE SIMPSON.","59663","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33025","","Awarded","","AG3142B090025","GS35F0251V","4730","","no","no","Yes","IRON BOW TECHNOLOGIES, LLC","","","Firm Fixed Price","","09/07/2012","01/01/1970","U","SOFTWARE AND SUPPORT SERVICES","59665","1205","","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33027","","Awarded","","AG32KWD120058","GS35F0779J","4730","","no","no","Yes","GOVERNMENT ACQUISITIONS INC","","0.026397","Firm Fixed Price","","04/09/2013","12/23/2013","U","IT PURCHASE GOVERNMENT ACQUISITIONS - RED HAT QUOTE #RFQ647345-YVJ FOR A ONE (1) YEAR SUBSCRIPTION RENEWAL.  POP 12/23/2011 - 12/22/2012.  RHIANA SHUMATE IS COTR.  REV#2 REQUESTED BY RODNEY WALKER.","59667","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33029","","Awarded","","AG32KWD130038","NNG07DA50B","4730","","no","no","Yes","COUNTERTRADE PRODUCTS, INC.","","0.030716","Firm Fixed Price","","12/13/2012","10/12/2013","U","IGF::OT::IGF","59669","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33031","","Awarded","","AG32KWD130036","GS35F0563U","4730","","no","no","Yes","WESTCON GROUP NORTH AMERICA, INC.","","0.016319","Firm Fixed Price","","12/13/2012","10/08/2013","U","IGF::OT::IGF","59671","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33033","","Awarded","","AG32KWD130047","GS35F0265X","4730","","no","no","Yes","IMMIXTECHNOLOGY, INC.","","0.011088","Firm Fixed Price","","12/20/2012","09/30/2013","U","IGF::OT::IGF","59673","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33035","","Awarded","","AG32KWD130095","GS35F0066N","4730","","no","no","Yes","HEWLETT-PACKARD COMPANY","","0.005410","Firm Fixed Price","","04/25/2013","04/30/2014","U","ITD PURCHASE  HEWLETT-PACKARD BLADE MAINTENANCE ON-SITE SUPPORT COVERAGE FOR EIGHT (8) BLADES.  HP REF#44959570.  POP 02/15/2013 - 02/14/204.  RHIANA SHUMATE IS COTR.  POC IS CHRISTINE MCCOY.","59675","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33037","","Awarded","","AG32KWP130018","AG32KWP130018","4730","","no","no","Yes","CDW GOVERNMENT LLC","","0.071257","Firm Fixed Price","","01/14/2013","01/30/2014","U","IGF::OT::IGF","59677","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33039","","Awarded","","AG32KWD130105","AG32KWC120024","4730","","no","no","Yes","MICROTECHNOLOGIES LLC","","0.047524","Firm Fixed Price","","05/02/2013","09/30/2017","U","IGF::CT::IGF","59679","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33041","","Awarded","","AG32KWD130052","NNG07DA10B","4730","","no","no","Yes","ALLIANCE TECHNOLOGY GROUP, LLC","","0.104878","Firm Fixed Price","","01/22/2013","01/22/2013","U","IGF::OT:IGF","59681","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33043","","Awarded","","AG6395D130232","GS35F0480J","4730","","no","no","Yes","OPEN TEXT CORPORATION","","0.051785","Firm Fixed Price","","03/27/2013","03/31/2014","U","ITD PURCHASE OPENTEXT - RENEWAL #0012238577 FOR BPM METASTORM - POP 04/01/2013 - 03/31/2014.","59683","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33045","","Awarded","","AG32KWP130052","AG32KWP130052","4730","","no","no","Yes","PROTELECOM, LLC","","0.081972","Firm Fixed Price","","03/20/2013","09/30/2013","U","IGF::OT::IGF","59685","12K3","0","2013-08-20 15:24:25","2013-08-20 15:24:25"
"005-000000038","214","005","Department of Agriculture","APHIS Enterprise Infrastructure","33047","","Awarded","","AG32KWK0048","Ag3142B130001","4730","","no","no","No","","","","","","","","","","","","","2013-08-20 15:24:25",""
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21954","","Awarded","","GS35F4984H","AG7604B080006","12C2","","","no","No","","","","","","","","","","","","","2012-08-01 16:22:38",""
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21955","","Awarded","1406","IND11PA40010","GS35F4984H","1406","N10PS40116","","no","Yes","INTERNATIONAL BUSINESS MACHINE","GSA N10PS40116","0.000000","Order Dependent (IDV only)","","06/15/2012","01/01/1970","U","US FOREST SERVICE IAEMS SUPPORT BLANKET PURCHASE AGREEMENT","33465","1406","","2011-09-16 17:10:07","2013-03-24 19:07:33"
"005-000000098","394","005","Department of Agriculture","Forest Service Computer Base","21956","","Awarded","1406","IND11PC40028","","","D10PS40031","","no","Yes","SNAP, INC.","D10PS40031","0.000000","Labor Hours","","06/08/2012","01/01/1970","U","US FOREST SERVICES COMPUTING INFRASTRUCTURE SUPPORT","33467","1406","","2012-02-29 13:07:26","2013-03-24 19:07:33"
